date,close
2017-12-06,16.6400
2017-12-05,16.7000
2017-12-04,16.6600
2017-12-01,16.6900
2017-11-30,16.6500
2017-11-29,16.4500
2017-11-28,16.3700
2017-11-27,16.2400
2017-11-24,16.0100
2017-11-22,16.0800
2017-11-21,16.1000
2017-11-20,15.9600
2017-11-17,15.8800
2017-11-16,15.8900
2017-11-15,15.5400
2017-11-14,15.4900
2017-11-13,15.4600
2017-11-10,15.8500
2017-11-09,15.7200
2017-11-08,15.8700
2017-11-07,16.1000
2017-11-06,16.3600
2017-11-03,16.3400
2017-11-02,16.5500
2017-11-01,16.7900
2017-10-31,16.9100
2017-10-30,16.7700
2017-10-27,16.3900
2017-10-26,17.6000
2017-10-25,17.7300
2017-10-24,17.3300
2017-10-23,17.2900
2017-10-20,17.3200
2017-10-19,17.1100
2017-10-18,17.1900
2017-10-17,16.7700
2017-10-16,16.3700
2017-10-13,16.5000
2017-10-12,16.5500
2017-10-11,16.4500
2017-10-10,16.0000
2017-10-09,16.0000
2017-10-06,16.0400
2017-10-05,16.1700
2017-10-04,16.2200
2017-10-03,16.4600
2017-10-02,16.0500
2017-09-29,15.8600
2017-09-28,15.9000
2017-09-27,16.0000
2017-09-26,15.6400
2017-09-25,15.7300
2017-09-22,15.8300
2017-09-21,15.8200
2017-09-20,16.0700
2017-09-19,16.3000
2017-09-18,15.8500
2017-09-15,16.0300
2017-09-14,15.9900
2017-09-13,15.9500
2017-09-12,15.9800
2017-09-11,16.1400
2017-09-08,15.7300
2017-09-07,15.5400
2017-09-06,15.4600
2017-09-05,15.5000
2017-09-01,16.0000
2017-08-31,15.8100
2017-08-30,15.5800
2017-08-29,15.8150
2017-08-28,15.9700
2017-08-25,15.8900
2017-08-24,15.8300
2017-08-23,15.6100
2017-08-22,15.7800
2017-08-21,15.9100
2017-08-18,15.6700
2017-08-17,15.9400
2017-08-16,16.2000
2017-08-15,16.1400
2017-08-14,15.8200
2017-08-11,15.7500
2017-08-10,15.9100
2017-08-09,16.0500
2017-08-08,16.2000
2017-08-07,16.2500
2017-08-04,16.1300
2017-08-03,15.9000
2017-08-02,15.7500
2017-08-01,15.7400
2017-07-31,15.2300
2017-07-28,15.6000
2017-07-27,15.4900
2017-07-26,15.5100
2017-07-25,15.1600
2017-07-24,15.2400
2017-07-21,15.3200
2017-07-20,15.4800
2017-07-19,16.2000
2017-07-18,16.2800
2017-07-17,16.3300
2017-07-14,16.5300
2017-07-13,16.2100
2017-07-12,16.0900
2017-07-11,16.1400
2017-07-10,16.3500
2017-07-07,16.2400
2017-07-06,15.9400
2017-07-05,15.7600
2017-07-03,15.7400
2017-06-30,15.8300
2017-06-29,15.7800
2017-06-28,16.0500
2017-06-27,15.4300
2017-06-26,15.6500
2017-06-23,15.2000
2017-06-22,15.1000
2017-06-21,15.2500
2017-06-20,14.8900
2017-06-19,15.1900
2017-06-16,15.0500
2017-06-15,14.8500
2017-06-14,15.3600
2017-06-13,15.3700
2017-06-12,14.8700
2017-06-09,14.8000
2017-06-08,15.3500
2017-06-07,15.2300
2017-06-06,15.1000
2017-06-05,15.2800
2017-06-02,15.5900
2017-06-01,15.4800
2017-05-31,15.5800
2017-05-30,15.4800
2017-05-26,15.6500
2017-05-25,15.9500
2017-05-24,15.7100
2017-05-23,15.5900
2017-05-22,15.4800
2017-05-19,15.5100
2017-05-18,15.2900
2017-05-17,15.1500
2017-05-16,15.3700
2017-05-15,15.4900
2017-05-12,15.3800
2017-05-11,15.3600
2017-05-10,15.6700
2017-05-09,15.6700
2017-05-08,15.7000
2017-05-05,15.6700
2017-05-04,14.8900
2017-05-03,14.3500
2017-05-02,14.4600
2017-05-01,14.4900
2017-04-28,14.4300
2017-04-27,14.1200
2017-04-26,14.4200
2017-04-25,14.4000
2017-04-24,14.5500
2017-04-21,13.8100
2017-04-20,13.9400
2017-04-19,13.8000
2017-04-18,13.4600
2017-04-17,13.6100
2017-04-13,13.3900
2017-04-12,13.3300
2017-04-11,13.4500
2017-04-10,13.0300
2017-04-07,12.8500
2017-04-06,13.1000
2017-04-05,13.0100
2017-04-04,13.0100
2017-04-03,13.1400
2017-03-31,13.2700
2017-03-30,13.1100
2017-03-29,13.1800
2017-03-28,13.3800
2017-03-27,13.4700
2017-03-24,13.8000
2017-03-23,13.6700
2017-03-22,13.6500
2017-03-21,13.9800
2017-03-20,14.0100
2017-03-17,14.1100
2017-03-16,14.2000
2017-03-15,13.8900
2017-03-14,13.6000
2017-03-13,13.8500
2017-03-10,13.8700
2017-03-09,13.8800
2017-03-08,13.3400
2017-03-07,13.4000
2017-03-06,13.5300
2017-03-03,13.3800
2017-03-02,13.4300
2017-03-01,13.6000
2017-02-28,13.3800
2017-02-27,13.1400
2017-02-24,13.2400
2017-02-23,12.6900
2017-02-22,12.6900
2017-02-21,12.7700
2017-02-17,12.7600
2017-02-16,12.7300
2017-02-15,12.6400
2017-02-14,12.6700
2017-02-13,12.4500
2017-02-10,12.2400
2017-02-09,12.3000
2017-02-08,12.0700
2017-02-07,11.8500
2017-02-06,11.8400
2017-02-03,12.1200
2017-02-02,12.1300
2017-02-01,12.3100
2017-01-31,12.0650
2017-01-30,12.1200
2017-01-27,12.5500
2017-01-26,12.3700
2017-01-25,12.6000
2017-01-24,12.3660
2017-01-23,12.3600
2017-01-20,12.2100
2017-01-19,12.0840
2017-01-18,12.0900
2017-01-17,12.2350
2017-01-13,11.9250
2017-01-12,11.7600
2017-01-11,11.9000
2017-01-10,11.7100
2017-01-09,11.3600
2017-01-06,11.4500
2017-01-05,11.6000
2017-01-04,11.0500
2017-01-03,10.8600
2016-12-30,10.7880
2016-12-29,10.8400
2016-12-28,10.8100
2016-12-27,11.2050
2016-12-23,11.1740
2016-12-22,10.9900
2016-12-21,11.1200
2016-12-20,11.1800
2016-12-19,11.1720
2016-12-16,11.4400
2016-12-15,11.1300
2016-12-14,10.8700
2016-12-13,11.3300
2016-12-12,10.9300
2016-12-09,11.1161
2016-12-08,11.3500
2016-12-07,11.0600
2016-12-06,10.5340
2016-12-05,10.5200
2016-12-02,10.5860
2016-12-01,10.6000
2016-11-30,10.7800
2016-11-29,11.1800
2016-11-28,10.8500
2016-11-25,10.9300
2016-11-23,11.2700
2016-11-22,11.3600
2016-11-21,11.0900
2016-11-18,11.1000
2016-11-17,11.2730
2016-11-16,11.2600
2016-11-15,11.4700
2016-11-14,11.0700
2016-11-11,11.1760
2016-11-10,10.9800
2016-11-09,11.0950
2016-11-08,10.9650
2016-11-07,11.0600
2016-11-04,10.8100
2016-11-03,11.2650
2016-11-02,10.8300
2016-11-01,10.7900
2016-10-31,10.5650
2016-10-28,10.5100
2016-10-27,10.0500
2016-10-26,10.2500
2016-10-25,9.8501
2016-10-24,24.6700
2016-10-21,24.4250
2016-10-20,24.5550
2016-10-19,24.0600
2016-10-18,23.8300
2016-10-17,22.9100
2016-10-14,23.0020
2016-10-13,22.6785
2016-10-12,23.0800
2016-10-11,22.6700
2016-10-10,22.3950
2016-10-07,22.6860
2016-10-06,24.0600
2016-10-05,25.3400
2016-10-04,24.8160
2016-10-03,25.4200
2016-09-30,26.0050
2016-09-29,25.3500
2016-09-28,26.1200
2016-09-27,25.7600
2016-09-26,25.5380
2016-09-23,26.1900
2016-09-22,26.6650
2016-09-21,26.0300
2016-09-20,26.1400
